formulation         criterion       max_depth   max_feat    accuracy        f1_micro        f1_macro        precision       recall
multioutput			entropy			10			5			0.025			0.025			0.011			0.328			0.243
multioutput			entropy			10			7			0.035			0.035			0.018			0.358			0.27
multioutput			entropy			10			9			0.04			0.04			0.025			0.335			0.292
multioutput			entropy			10			10			0.03			0.03			0.012			0.357			0.281
multioutput			entropy			20			3			0.02			0.02			0.007			0.336			0.26
multioutput			entropy			20			5			0.01			0.01			0.002			0.316			0.323
multioutput			entropy			20			7			0.035			0.035			0.013			0.29			0.283
multioutput			entropy			20			9			0.015			0.015			0.005			0.318			0.288
multioutput			entropy			20			10			0.01			0.01			0.004			0.362			0.277
multioutput			entropy			30			3			0.015			0.015			0.005			0.343			0.263
multioutput			entropy			30			5			0.04			0.04			0.016			0.318			0.298
multioutput			entropy			30			7			0.015			0.015			0.004			0.325			0.32
multioutput			entropy			30			9			0.035			0.035			0.018			0.302			0.294
multioutput			entropy			30			10			0.02			0.02			0.008			0.281			0.305
